2DPathTrajectory
x	y
0.571484	-0.61624
0.571487	-0.616236
0.571491	-0.616231
0.571495	-0.616226
0.571495	-0.616227
0.571496	-0.616227
0.571498	-0.616225
0.5715	-0.616222
0.571504	-0.616218
0.571506	-0.616216
0.571511	-0.616211
0.571512	-0.616213
0.571514	-0.616211
0.571517	-0.61621
0.571519	-0.616209
0.571523	-0.616203
0.571526	-0.616203
0.571528	-0.6162
0.571532	-0.616196
0.571533	-0.616194
0.571536	-0.616193
0.571536	-0.616195
0.571539	-0.616191
0.571541	-0.61619
0.571546	-0.616183
0.57155	-0.616182
0.57155	-0.616181
0.571556	-0.616173
0.571557	-0.616173
0.571559	-0.616172
0.571562	-0.61617
0.571563	-0.616169
0.571568	-0.616163
0.571569	-0.616161
0.57157	-0.616162
0.571572	-0.616161
0.571572	-0.616163
0.571574	-0.616159
0.571575	-0.616158
0.571582	-0.616152
0.571585	-0.616149
0.571592	-0.616142
0.571596	-0.616139
0.571597	-0.61614
0.571601	-0.616137
0.571604	-0.616135
0.571608	-0.616129
0.571612	-0.616129
0.571619	-0.61612
0.571623	-0.61612
0.571631	-0.616109
0.571632	-0.616111
0.571638	-0.616103
0.571641	-0.616103
0.571643	-0.616102
0.571646	-0.616097
0.571646	-0.616101
0.571652	-0.616093
0.571654	-0.616093
0.571661	-0.616082
0.571664	-0.616083
0.571668	-0.616077
0.571668	-0.61608
0.571675	-0.616072
0.57168	-0.616067
0.571682	-0.616068
0.571687	-0.616064
0.57169	-0.616059
0.57169	-0.616061
0.571695	-0.616053
0.571697	-0.616054
0.571699	-0.616051
0.571703	-0.616046
0.571703	-0.616046
0.571703	-0.616046
0.571705	-0.616045
0.571705	-0.616046
0.571707	-0.616044
0.571709	-0.616043
0.57171	-0.616041
0.571714	-0.616036
0.571713	-0.616041
0.571718	-0.616034
0.571721	-0.616032
0.571723	-0.616029
0.571726	-0.616026
0.571724	-0.616032
0.57173	-0.616025
0.571733	-0.616021
0.571737	-0.616017
0.57174	-0.616015
0.571745	-0.616009
0.571746	-0.616013
0.571753	-0.616005
0.571759	-0.615997
0.571762	-0.615996
0.571767	-0.615992
0.571769	-0.615991
0.571771	-0.615989
0.571773	-0.615987
0.571773	-0.615989
0.571774	-0.615989
0.571776	-0.615987
0.571778	-0.615984
0.571781	-0.615981
0.571783	-0.61598
0.571784	-0.615981
0.571786	-0.615978
0.571789	-0.615972
0.571794	-0.615972
0.571799	-0.615968
0.571801	-0.615966
0.571808	-0.615957
0.57181	-0.615958
0.571814	-0.615953
0.571819	-0.61595
0.57182	-0.615949
0.571823	-0.615947
0.571827	-0.615944
0.57183	-0.615942
0.571837	-0.615931
0.571839	-0.615935
0.571844	-0.615929
0.571848	-0.615926
0.57185	-0.615924
0.572694	-0.615748
0.574812	-0.616782
0.575699	-0.617919
0.575976	-0.61829
0.576357	-0.618776
0.576759	-0.619565
0.576473	-0.619487
0.576554	-0.619188
0.576607	-0.619138
0.576587	-0.619194
0.576594	-0.619181
0.576596	-0.61918
0.576603	-0.619179
0.576605	-0.619179
0.576608	-0.61918
0.576614	-0.619178
0.576613	-0.61918
0.576618	-0.619179
0.576619	-0.61918
0.576623	-0.619179
0.576623	-0.61918
0.576632	-0.619176
0.576627	-0.61918
0.576635	-0.619178
0.576641	-0.619176
0.576645	-0.619176
0.576647	-0.619176
0.576651	-0.619175
0.576655	-0.619174
0.576657	-0.619175
0.576662	-0.619174
0.576668	-0.619173
0.576671	-0.619173
0.576671	-0.619174
0.576678	-0.619171
0.576677	-0.619174
0.576678	-0.619174
0.576679	-0.619176
0.576687	-0.619173
0.576695	-0.619171
0.576697	-0.619173
0.5767	-0.619172
0.576707	-0.619169
0.576709	-0.61917
0.576709	-0.619172
0.576712	-0.619172
0.576717	-0.619171
0.576719	-0.61917
0.576722	-0.619169
0.576726	-0.619168
0.576726	-0.619169
0.576727	-0.61917
0.576733	-0.619168
0.57673	-0.619171
0.576736	-0.619168
